name,kt,ktilde,kv
weight_CPgrid_103,-1.1666666666666667,-1.347150628109127,0.5
weight_CPgrid_104,-1.1666666666666667,-1.347150628109127,1
weight_CPgrid_105,-1.1666666666666667,-1.347150628109127,1.5
weight_CPgrid_106,-1.4000000000000001,-1.2444444444444445,0.5
weight_CPgrid_107,-1.4000000000000001,-1.2444444444444445,1
weight_CPgrid_108,-1.4000000000000001,-1.2444444444444445,1.5
weight_CPgrid_109,-1.6333333333333333,-1.1108888666622212,0.5
weight_CPgrid_110,-1.6333333333333333,-1.1108888666622212,1
weight_CPgrid_111,-1.6333333333333333,-1.1108888666622212,1.5
weight_CPgrid_112,-1.866666666666667,-0.9333333333333331,0.5
weight_CPgrid_113,-1.866666666666667,-0.9333333333333331,1
weight_CPgrid_114,-1.866666666666667,-0.9333333333333331,1.5
weight_CPgrid_115,-2.1,-0.6780509467729936,0.5
weight_CPgrid_116,-2.1,-0.6780509467729936,1
weight_CPgrid_117,-2.1,-0.6780509467729936,1.5
weight_CPgrid_118,-2.3333333333333335,-0.0,0.5
weight_CPgrid_119,-2.3333333333333335,-0.0,1
weight_CPgrid_120,-2.3333333333333335,-0.0,1.5
weight_CPgrid_121,1.5,-0.48432210483785265,0.5
weight_CPgrid_122,1.5,-0.48432210483785265,1
weight_CPgrid_123,1.5,-0.48432210483785265,1.5
weight_CPgrid_124,1.3333333333333335,-0.6666666666666666,0.5
weight_CPgrid_125,1.3333333333333335,-0.6666666666666666,1
weight_CPgrid_126,1.3333333333333335,-0.6666666666666666,1.5
weight_CPgrid_127,1.1666666666666667,-0.7934920476158724,0.5
weight_CPgrid_128,1.1666666666666667,-0.7934920476158724,1
weight_CPgrid_129,1.1666666666666667,-0.7934920476158724,1.5
weight_CPgrid_130,1.0,-0.8888888888888891,0.5
weight_CPgrid_131,1.0,-0.8888888888888891,1
weight_CPgrid_132,1.0,-0.8888888888888891,1.5
weight_CPgrid_133,0.8333333333333334,-0.9622504486493761,0.5
weight_CPgrid_134,0.8333333333333334,-0.9622504486493761,1
weight_CPgrid_135,0.8333333333333334,-0.9622504486493761,1.5
weight_CPgrid_136,0.6666666666666667,-1.0183501544346312,0.5
weight_CPgrid_137,0.6666666666666667,-1.0183501544346312,1
weight_CPgrid_138,0.6666666666666667,-1.0183501544346312,1.5
weight_CPgrid_139,0.5,-1.0599324460188286,0.5
weight_CPgrid_140,0.5,-1.0599324460188286,1
weight_CPgrid_141,0.5,-1.0599324460188286,1.5
weight_CPgrid_142,0.33333333333333337,-1.0886621079036347,0.5
weight_CPgrid_143,0.33333333333333337,-1.0886621079036347,1
weight_CPgrid_144,0.33333333333333337,-1.0886621079036347,1.5
weight_CPgrid_145,0.16666666666666669,-1.1055415967851334,0.5
weight_CPgrid_146,0.16666666666666669,-1.1055415967851334,1
weight_CPgrid_147,0.16666666666666669,-1.1055415967851334,1.5
weight_CPgrid_148,0.0001666666666666667,-1.1111111055555556,0.5
weight_CPgrid_149,0.0001666666666666667,-1.1111111055555556,1
weight_CPgrid_150,0.0001666666666666667,-1.1111111055555556,1.5
weight_CPgrid_151,-0.16666666666666669,-1.1055415967851334,0.5
weight_CPgrid_152,-0.16666666666666669,-1.1055415967851334,1
weight_CPgrid_153,-0.16666666666666669,-1.1055415967851334,1.5
weight_CPgrid_154,-0.33333333333333337,-1.088662107903635,0.5
weight_CPgrid_155,-0.33333333333333337,-1.088662107903635,1
weight_CPgrid_156,-0.33333333333333337,-1.088662107903635,1.5
weight_CPgrid_157,-0.5,-1.0599324460188286,0.5
weight_CPgrid_158,-0.5,-1.0599324460188286,1
weight_CPgrid_159,-0.5,-1.0599324460188286,1.5
weight_CPgrid_160,-0.6666666666666667,-1.0183501544346312,0.5
weight_CPgrid_161,-0.6666666666666667,-1.0183501544346312,1
weight_CPgrid_162,-0.6666666666666667,-1.0183501544346312,1.5
weight_CPgrid_163,-0.8333333333333334,-0.9622504486493764,0.5
weight_CPgrid_164,-0.8333333333333334,-0.9622504486493764,1
weight_CPgrid_165,-0.8333333333333334,-0.9622504486493764,1.5
weight_CPgrid_166,-1.0,-0.888888888888889,0.5
weight_CPgrid_167,-1.0,-0.888888888888889,1
weight_CPgrid_168,-1.0,-0.888888888888889,1.5
weight_CPgrid_169,-1.1666666666666667,-0.7934920476158722,0.5
weight_CPgrid_170,-1.1666666666666667,-0.7934920476158722,1
weight_CPgrid_171,-1.1666666666666667,-0.7934920476158722,1.5
weight_CPgrid_172,-1.3333333333333335,-0.6666666666666665,0.5
weight_CPgrid_173,-1.3333333333333335,-0.6666666666666665,1
weight_CPgrid_174,-1.3333333333333335,-0.6666666666666665,1.5
